"SECURITIES","ERROR CODE","NUM FLDS","TICKER","OPT_STRIKE_PX","PX_LAST","PX_SETTLE","OPT_DELTA_LAST","OPT_GAMMA_LAST","SETTLE_DT","OPT_DAYS_EXPIRE","DAYS_TO_MTY","TODAY_DT","1ST_MTH_IMPVOL_90.0%MNY_DF","1ST_MTH_IMPVOL_95.0%MNY_DF","1ST_MTH_IMPVOL_97.5%MNY_DF","1ST_MTH_IMPVOL_100.0%MNY_DF","1ST_MTH_IMPVOL_102.5%MNY_DF","1ST_MTH_IMPVOL_110.0%MNY_DF","3MTH_IMPVOL_90.0%MNY_DF","3MTH_IMPVOL_95.0%MNY_DF","3MTH_IMPVOL_97.5%MNY_DF","3MTH_IMPVOL_100.0%MNY_DF","3MTH_IMPVOL_102.5%MNY_DF","3MTH_IMPVOL_110.0%MNY_DF","6MTH_IMPVOL_90.0%MNY_DF","6MTH_IMPVOL_95.0%MNY_DF","6MTH_IMPVOL_97.5%MNY_DF","6MTH_IMPVOL_100.0%MNY_DF","6MTH_IMPVOL_102.5%MNY_DF","6MTH_IMPVOL_110.0%MNY_DF"
"TUV6C    109.75 Comdty",0,28,"TUV6C",109.750000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    109.875 Comdty",0,28,"TUV6C",109.875000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    110 Comdty",0,28,"TUV6C",110.000000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    110.125 Comdty",0,28,"TUV6C",110.125000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    110.25 Comdty",0,28,"TUV6C",110.250000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    110.375 Comdty",0,28,"TUV6C",110.375000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    110.5 Comdty",0,28,"TUV6C",110.500000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    110.625 Comdty",0,28,"TUV6C",110.625000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    110.75 Comdty",0,28,"TUV6C",110.750000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    110.875 Comdty",0,28,"TUV6C",110.875000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    111 Comdty",0,28,"TUV6C",111.000000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    111.125 Comdty",0,28,"TUV6C",111.125000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    111.25 Comdty",0,28,"TUV6C",111.250000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    111.375 Comdty",0,28,"TUV6C",111.375000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    111.5 Comdty",0,28,"TUV6C",111.500000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    111.625 Comdty",0,28,"TUV6C",111.625000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    111.75 Comdty",0,28,"TUV6C",111.750000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    111.875 Comdty",0,28,"TUV6C",111.875000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    112 Comdty",0,28,"TUV6C",112.000000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    112.125 Comdty",0,28,"TUV6C",112.125000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    112.25 Comdty",0,28,"TUV6C",112.250000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    112.375 Comdty",0,28,"TUV6C",112.375000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    112.5 Comdty",0,28,"TUV6C",112.500000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    112.625 Comdty",0,28,"TUV6C",112.625000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    112.75 Comdty",0,28,"TUV6C",112.750000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    112.875 Comdty",0,28,"TUV6C",112.875000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    113 Comdty",0,28,"TUV6C",113.000000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    113.125 Comdty",0,28,"TUV6C",113.125000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    113.25 Comdty",0,28,"TUV6C",113.250000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUV6C    113.375 Comdty",0,28,"TUV6C",113.375000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",85  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    105.75 Comdty",0,28,"TUX6P",105.750000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    105.875 Comdty",0,28,"TUX6P",105.875000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    106 Comdty",0,28,"TUX6P",106.000000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    106.125 Comdty",0,28,"TUX6P",106.125000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    106.25 Comdty",0,28,"TUX6P",106.250000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    106.375 Comdty",0,28,"TUX6P",106.375000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    106.5 Comdty",0,28,"TUX6P",106.500000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    106.625 Comdty",0,28,"TUX6P",106.625000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    106.75 Comdty",0,28,"TUX6P",106.750000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    106.875 Comdty",0,28,"TUX6P",106.875000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    107 Comdty",0,28,"TUX6P",107.000000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    107.125 Comdty",0,28,"TUX6P",107.125000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    107.25 Comdty",0,28,"TUX6P",107.250000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    107.375 Comdty",0,28,"TUX6P",107.375000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    107.5 Comdty",0,28,"TUX6P",107.500000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    107.625 Comdty",0,28,"TUX6P",107.625000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    107.75 Comdty",0,28,"TUX6P",107.750000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    107.875 Comdty",0,28,"TUX6P",107.875000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    108 Comdty",0,28,"TUX6P",108.000000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    108.125 Comdty",0,28,"TUX6P",108.125000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    108.25 Comdty",0,28,"TUX6P",108.250000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    108.375 Comdty",0,28,"TUX6P",108.375000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    108.5 Comdty",0,28,"TUX6P",108.500000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    108.625 Comdty",0,28,"TUX6P",108.625000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    108.75 Comdty",0,28,"TUX6P",108.750000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    108.875 Comdty",0,28,"TUX6P",108.875000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    109 Comdty",0,28,"TUX6P",109.000000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    109.125 Comdty",0,28,"TUX6P",109.125000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    109.25 Comdty",0,28,"TUX6P",109.250000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    109.375 Comdty",0,28,"TUX6P",109.375000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    109.5 Comdty",0,28,"TUX6P",109.500000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    109.625 Comdty",0,28,"TUX6P",109.625000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    109.75 Comdty",0,28,"TUX6P",109.750000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    109.875 Comdty",0,28,"TUX6P",109.875000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    110 Comdty",0,28,"TUX6P",110.000000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    110.125 Comdty",0,28,"TUX6P",110.125000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    110.25 Comdty",0,28,"TUX6P",110.250000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    110.375 Comdty",0,28,"TUX6P",110.375000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    110.5 Comdty",0,28,"TUX6P",110.500000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    110.625 Comdty",0,28,"TUX6P",110.625000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    110.75 Comdty",0,28,"TUX6P",110.750000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    110.875 Comdty",0,28,"TUX6P",110.875000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    111 Comdty",0,28,"TUX6P",111.000000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    111.125 Comdty",0,28,"TUX6P",111.125000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    111.25 Comdty",0,28,"TUX6P",111.250000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    111.375 Comdty",0,28,"TUX6P",111.375000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    111.5 Comdty",0,28,"TUX6P",111.500000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    111.625 Comdty",0,28,"TUX6P",111.625000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    111.75 Comdty",0,28,"TUX6P",111.750000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    111.875 Comdty",0,28,"TUX6P",111.875000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"TUX6P    112 Comdty",0,28,"TUX6P",112.000000  ,"N.A.","N.A.","N.A.","N.A.","06/30/2016",113  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
